city;neighborhood;price;room;bedroom;surface;pm2;balcony;terrace;parking;swimming;elevator;floor;nb_floor
Décines-Charpieu;Quartier Sablon;150000;3;2;57;2631.0;TRUE;FALSE;FALSE;FALSE;FALSE;6;–
Décines-Charpieu;Quartier Sablon;150000;3;2;57;2631.0;TRUE;FALSE;FALSE;FALSE;FALSE;6;–
Décines-Charpieu;Quartier Sablon;150000;3;2;57;2631.0;TRUE;FALSE;FALSE;FALSE;FALSE;6;–
Décines-Charpieu;Quartier Bonneveau;725000;8;6;197;3680.0;TRUE;TRUE;FALSE;TRUE;FALSE;-;-
Décines-Charpieu;Quartier Bonneveau;725000;8;6;197;3680.0;TRUE;TRUE;FALSE;TRUE;FALSE;-;-
Décines-Charpieu;Quartier Bonneveau;725000;8;6;197;3680.0;TRUE;TRUE;FALSE;TRUE;FALSE;-;-
Décines-Charpieu;Quartier Charpieu;550000;8;5;164;3353.0;TRUE;FALSE;FALSE;FALSE;FALSE;-;-
Décines-Charpieu;Quartier Charpieu;550000;8;5;164;3353.0;TRUE;FALSE;FALSE;FALSE;FALSE;-;-
Décines-Charpieu;Quartier Charpieu;550000;8;5;164;3353.0;TRUE;FALSE;FALSE;FALSE;FALSE;-;-
Décines-Charpieu;-;210000;4;2;70;3000.0;TRUE;FALSE;FALSE;FALSE;FALSE;1;4
Décines-Charpieu;-;210000;4;2;70;3000.0;TRUE;FALSE;FALSE;FALSE;FALSE;1;4
Décines-Charpieu;-;329000;4;3;82.07;4008.0;FALSE;TRUE;FALSE;FALSE;FALSE;2;3
Décines-Charpieu;-;329000;4;3;82.07;4008.0;FALSE;TRUE;FALSE;FALSE;FALSE;2;3
Décines-Charpieu;Quartier Champ-Blanc;580000;4;3;110;5272.0;TRUE;TRUE;FALSE;FALSE;FALSE;-;-
Décines-Charpieu;Quartier Champ-Blanc;580000;4;3;110;5272.0;TRUE;TRUE;FALSE;FALSE;FALSE;-;-
Décines-Charpieu;Quartier Cornavent;175000;3;2;61.27;2856.0;TRUE;FALSE;FALSE;FALSE;TRUE;3;–
Décines-Charpieu;Quartier Cornavent;175000;3;2;61.27;2856.0;TRUE;FALSE;FALSE;FALSE;TRUE;3;–
